Organization,Compensation,Total Expenses,Executive_sex,Year
Microsoft,20014152,89950000000,male,2017
Microsoft,1261218,77849000000,male,2013
Apple,15682219,2.29234E+11,male,2017
Apple,4174992,1.7091E+11,male,2013
Amazon,1681840,1.77866E+11,male,2017
Amazon,1681840,74452000000,male,2013
Facebook,22554543,40653000000,male,2017
Facebook,653165,7872000000,male,2013
Bershire Hathaway,388968,60597000000,male,2017
Bershire Hathaway,485606,36684000000,male,2013
JP Morgan,28313787,99624000000,male,2017
JP Morgan,11791833,97367000000,male,2013
Google,4726592,1.10855E+11,male,2017
Google,19323380,55519000000,male,2013
JNJ,29802564,76450000000,male,2017
JNJ,16910960,71312000000,male,2013
Visa,24523500,18358000000,male,2017
Visa,10461875,11778000000,male,2013
BoA,23000000,87352000000,male,2017
BoA,14000000,43124000000,male,2013
GM,21958048,1.45588E+11,female,2017
GM,9071309,1.37958E+11,male,2013
United Health,17389976,2.01159E+11,male,2017
United Health,12073284,1.22489E+11,male,2013
Coke,10190104,35410000000,male,2017
Coke,20380660,46854000000,male,2013
Walmart,22352143,4.85873E+11,male,2017
Walmart,20693545,4.68651E+11,male,2013
McDonald's,21761052,22820000000,male,2017
McDonald's,9496664,28106000000,male,2013
3M,20494285,31657000000,male,2017
3M,16368708,30871000000,male,2013
Adobe,21934033,7301505000,male,2017
Adobe,15747478,4055240000,male,2013
Best Buy,16760454,39403000000,male,2017
Best Buy,19550692,38252000000,male,2013
Cabot Oil & Gas,12401033,1764219000,male,2017
Cabot Oil & Gas,9112864,1746278000,male,2013
Chipolte,11052180,4476412000,male,2017
Chipolte,25116871,3214591000,male,2013
Ford,16731724,1.56776E+11,male,2017
Ford,23204534,1.46917E+11,male,2013
Humana,19768525,52380000000,male,2017
Humana,8848066,38829000000,male,2013
Target,8399210,71879000000,male,2017
Target,12953214,71279000000,male,2013